plant_common_name,plant_scientific_name,plant_type,audubon_attributes_original,audubon_attributes_normalized,audubon_bird_groups_original,audubon_bird_group_count,audubon_resource_count,description,source_url_or_citation,evidence_source,audit_flags,matched_dashboard_id
Large Spike Bristlegrass,Setaria macrostachya,Grasses,Seeds,seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,1,"Also known as Large-spike Bristlegrass, this perennial bunchgrass grows to 3 by 2 feet in size. It grows in full sun and dry soils, including sandy soils, and is drought tolerant. When its flower clusters bloom they can appear green, red, yellow, or brown. The seeds of this plant are an important food source for game birds.",https://www.audubon.org/native-plants/species/large-spike-bristlegrass?zipcode=78666,National Audubon Society Native Plants,,CAND4234
Lemon Beebalm,Monarda citriodora,Annuals/Per.,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,3,"Lemon Beebalm, also known as Purple Horsemint and Lemon Mint, is an aromatic annual with tuft-like, lavender to pink, whorled flower heads that bloom from May to July. Rubbing or crushing the leaves will release a distinctly citrus or lemony scent, which gives the plant its name. This plant grows 1 to 2 feet tall in full to partial sun, and in dry, sandy to rocky soils, sometimes spreading aggressively in the best growing conditions.",https://www.audubon.org/native-plants/species/lemon-beebalm?zipcode=78666,National Audubon Society Native Plants,,PLT0109
Little False Bluestem,Schizachyrium scoparium,Grasses,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,3,"Also known simply as Little Bluestem, this is an ornamental, perennial bunchgrass that grows up to 2 feet tall. It forms dense mounds of slender, blue-green stems that become deep brownish red by September, and produces white seed tufts that last about 1 to 2 weeks in the fall. This bunchgrass grows in full sun to partial shade and in a variety of dry, well-drained soils.",https://www.audubon.org/native-plants/species/little-false-bluestem?zipcode=78666,National Audubon Society Native Plants,,PLT0026
Little-Leaf Sumac,Rhus microphylla,"Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Also called Desert Sumac, Correosa, and Agritos, this perennial, thorn-less shrub typically grows to 8 by 8 feet. It produces shiny, leathery leaves and small, white flowers that lead to reddish fruits. Little-Leaf Sumac can be used as a hedge plant, growing in partial shade and sandy or rocky soils, and requiring little water.",https://www.audubon.org/native-plants/species/little-leaf-sumac?zipcode=78666,National Audubon Society Native Plants,,PLT0204
Live Oak,Quercus virginiana,"Evergreen, Trees",Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Emblematic of the southeastern U.S, the Live Oak, also known as Encino, and Southern or Coastal Live Oak has a massive but short central trunk and long, arching branches. It averages a height of 50 feet and width of 80 feet, though large, older specimens may reach a crown diameter of 150 feet. Live Oak holds its leaves through the winter, losing them only when new growth appears in spring. It grows in full sun to partial shade and dry to moist soils, and is resistant to browsing by deer.",https://www.audubon.org/native-plants/species/live-oak?zipcode=78666,National Audubon Society Native Plants,,PLT0280
Lotebush,Ziziphus obtusifolia,"Shrubs, Trees",Fruit; Nuts,fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,2,"Also known as Graythorn, this thorny, perennial shrub grows to 6 by 8 feet in size. It is a good cover plant that produces dense branches, small yellow flowers, and edible purplish berries. Attracting birds, mammals, and pollinating insects, this tree grows best in partial shade and dry soils.",https://www.audubon.org/native-plants/species/lotebush?zipcode=78666,National Audubon Society Native Plants,,CAND5003
Maximilian Sunflower,Helianthus maximiliani,Annuals/Per.,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Maximilian, or Max, Sunflower, is a perennial plant with stems that can grow up to 10 feet tall with many long and narrow leaves. This plant is eaten by livestock and deer, while its showy, yellow flower heads attract bees and butterflies for their nectar, and birds for their seeds. Maximilian Sunflower is native to prairies, growing best in full sun and dry to moist, clay-like soil.",https://www.audubon.org/native-plants/species/maximilian-sunflower?zipcode=78666,National Audubon Society Native Plants,,PLT0095
Net-Leaf Hackberry,Celtis reticulata,Trees,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Net-leaf Hackberry is a medium to large tree, growing to 15 by 25 feet with an unusual and scraggly but attractive form for a desert tree. It produces firm, purplish berries and provides a good nesting substrate, with whitish, knobby wood and leathery foliage that is eaten by many insects and caterpillars. This tree is deer resistant, growing in full sun and moist soils.",https://www.audubon.org/native-plants/species/net-leaf-hackberry?zipcode=78666,National Audubon Society Native Plants,,CAND0934
Northern Spicebush,Lindera benzoin,Shrubs,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Also known as Wild Allspice, this deciduous, perennial shrub displays glossy leaves and light, slender green branches that grow 6 to 12 feet tall. Out of its aromatic foliage bloom dense clusters of tiny, pale yellow flowers, followed by glossy red fruit. The leaves turn a colorful golden-yellow in the fall. This plant grows in full sun to shade, in dry to wet, well-drained soils. It serves as a larval host for a number of butterfly species.",https://www.audubon.org/native-plants/species/northern-spicebush?zipcode=78666,National Audubon Society Native Plants,,PLT0195
Old Man's Beard,Clematis drummondii,Annuals/Per.,,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/old-mans-beard?zipcode=78666,National Audubon Society Native Plants,missing_attributes,PLT0294
Oswego-Tea,Monarda fistulosa,Annuals/Per.,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,3,"Also known as Wild Bergamot and Beebalm, this is a showy, herbaceous perennial that grows up to 4 feet tall. Highly branched, it produces clusters of lavender, pink, or white flowers resembling ragged pompoms on top of 2 to 5 foot open-branched stems. This fragrant plant is highly attractive to hummingbirds, butterflies, and bees, and can grow in full sun to partial shade, in a variety of dry to moist soils.",https://www.audubon.org/native-plants/species/oswego-tea?zipcode=78666,National Audubon Society Native Plants,,PLT0110
Pecan,Carya illinoinensis,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Largest of the hickories, this tree grows 70 to 100 feet tall. It has a huge trunk, stout branches and a symmetrical, oval crown. Its bark is slate gray and will remain smooth for years into maturity. The tree attracts butterflies and the sweet pecan nuts are a favorite for fruit-eating mammals and birds. Pecan grows in full sun and rich, moist, well-drained soils.",https://www.audubon.org/native-plants/species/pecan?zipcode=78666,National Audubon Society Native Plants,,PLT0247
Plateau Oak,Quercus fusiformis,"Shrubs, Trees",Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This thicket-forming, semi-evergreen shrub or large, spreading tree goes by many nicknames, including Texas Live Oak, Encino Molino, Escarpment Live Oak, and Tesmoli. It has a short, tapering trunk and gnarled branches and limbs that over time spread a great distance horizontally from the main trunk. It produces one inch long, spindle-shaped acorns that feed birds and mammals. Plateau Oak grows in full sun to partial shade, and in a variety of dry soils, including rocky, sandy, clay, or loam soils.",https://www.audubon.org/native-plants/species/plateau-oak?zipcode=78666,National Audubon Society Native Plants,,PLT0275
Purple Three Awn,Aristida purpurea,Grasses,Seeds,seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,1,"This annual, deciduous grass often grows in large bunches and has attractive, purplish seed sprays. The culms of this grass grow 12 to 20 inches tall in full sun, and in dry, rocky soils. The seeds can be food for song birds, and the plant itself can provide nesting materials for some mammals.",https://www.audubon.org/native-plants/species/purple-three-awn?zipcode=78666,National Audubon Society Native Plants,,PLT0007
Red Buckeye,Aesculus pavia,"Shrubs, Trees",Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,3,"Red Buckeye, otherwise known as Scarlet Buckeye or Firecracker Plant, is a large, perennial shrub that produces orange-red flowers about the time hummingbirds return in the spring. Red Buckeye grows in partial shade and in deep, moist, well-drained soils. Along with attracting hummingbirds and bees with its flowers, this shrub also produces nuts that are eaten by squirrels. However, the seeds and young shoots of this plant are poisonous to humans if ingested.",https://www.audubon.org/native-plants/species/red-buckeye?zipcode=78666,National Audubon Society Native Plants,,PLT0245
Red Columbine,Aquilegia canadensis,Annuals/Per.,Nectar,nectar,Hummingbirds; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,7,1,"Also known as Eastern Red Columbine and Wild Columbine, this herbaceous perennial grows erectly with uniquely bell-shaped, red flowers. The backward-pointing tubes of the flowers contain nectar, greatly attracting hummingbirds, butterflies, and other long-tongued insects. This plant grows best in full sun, and moist, well-drained, sandy soils, reaching a height of up to 2 feet.",https://www.audubon.org/native-plants/species/red-columbine?zipcode=78666,National Audubon Society Native Plants,,PLT0037
Red Mulberry,Morus rubra,Trees,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Otherwise known as Moral, this medium-sized, perennial tree grows up to 60 feet tall, with a short trunk and a broad, rounded crown. It produces catkins that are highly attractive to birds, and turn from light green to red and then to black, blooming from March to June. It is adaptable to different conditions, growing in full sun to shade, and in dry to moist sandy, loam, and clay soils.",https://www.audubon.org/native-plants/species/red-mulberry?zipcode=78666,National Audubon Society Native Plants,,PLT0265
Red-Cardinal,Erythrina herbacea,"Shrubs, Trees",Nectar,nectar,Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers; Woodpeckers,9,1,"Also known as Coralbean and Cherokee Bean, this perennial shrub or small tree typically grows 6 to 12 feet tall, bearing showy red flowers that are highly attractive to hummingbirds in late spring and early summer. The flowers are followed by seed pods that split in late summer and fall to reveal bright red, persistent seeds, which are toxic to humans if eaten. Red-Cardinal grows in full sun to partial shade and in dry, sandy, loamy, and clayey soils.",https://www.audubon.org/native-plants/species/red-cardinal?zipcode=78666,National Audubon Society Native Plants,,PLT0188
Red-Spike Mexican-Hat,Ratibida columnifera,Annuals/Per.,Seeds,seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers; Woodpeckers",12,1,"Also known as Prairie Coneflower and Thimbleflower, this is a leafy and branched, perennial plant that can reach 3 feet in height. It has long, leafless stalks that bear flower heads of 3 to 7 yellow to dark red, drooping rays. Drought tolerant, this plant does best in full sun and dry to moist, well-drained soils.",https://www.audubon.org/native-plants/species/red-spike-mexican-hat?zipcode=78666,National Audubon Society Native Plants,,PLT0132
Redbud,Cercis canadensis,Trees,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",15,5,"Redbud, or Eastern Redbud, is an understory shrub or small tree that grows up to 30 feet tall. It often has a short, crooked gray-barked trunk and a wide-spreading, irregular crown of heart-shaped and smooth leaves. The flowers are bright pink while buds become light pink as they bloom in their clusters, transforming during the summer into flattened, brown seedpods. The seedpods can stay on the tree through fall and sometimes into winter. This tree does best in partial shade, and in moist, well-drained, fertile soils.",https://www.audubon.org/native-plants/species/redbud?zipcode=78666,National Audubon Society Native Plants,,CAND0962
Rough-Leaf Dogwood,Cornus drummondii,"Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Rough-Leaf Dogwood, or Drummond’s Dogwood, is a small, perennial tree or shrub that can grow to be 16 feet tall. Its branches can be reddish brown or gray, and the upper surfaces of its leaves are covered with the rough hairs for which it is named. The off-white flowers are replaced by white berries in the fall, during which its foliage turns shades of red. This plant is adaptable but grows best in moist soils and partial to full shade.",https://www.audubon.org/native-plants/species/rough-leaf-dogwood?zipcode=78666,National Audubon Society Native Plants,,PLT0211
Rusty Blackhaw,Viburnum rufidulum,"Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Rusty Blackhaw, also known as Downy Viburnum and Nannyberry, is a shrub or tree with dark bark that separates into rectangular plates. Its glossy, dark green leaves turn various warm hues during the fall while its white flowers appear in March and April before ripening to dark blue fruits. This slow-growing perennial grows best in partial shade and dry soils.",https://www.audubon.org/native-plants/species/rusty-blackhaw?zipcode=78666,National Audubon Society Native Plants,,PLT0222
Shiny Hackberry,Celtis ehrenbergiana,"Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Also known as Desert or Spiny Hackberry, Granjeno, and Huasteco, this perennial, deciduous shrub can reach up to 10 feet in height. It has smooth, gray bark, spiny branches, and small, somewhat rough leaves. This shrub grows clusters of small, white flowers, followed by shiny red, orange, and yellow fruit that ripens in the fall, the nectar and fruit attracting butterflies, birds, and mammals. It grows in full sun and partial shade, and in dry, rocky, sandy, and clay soils.",https://www.audubon.org/native-plants/species/shiny-hackberry?zipcode=78666,National Audubon Society Native Plants,,PLT0183
Showy Goldenrod,Solidago speciosa,Annuals/Per.,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Also known as Noble Goldenrod, this perennial herb with deep reddish stems grows 1 to 5 feet tall. Its bright yellow flowers bloom in late summer and early fall, and are arranged in erect, pointed clusters, attracting bees, butterflies, and birds. This herb is resistant to drought and deer, and thrives in partial shade and in moist, rocky or clay soils.",https://www.audubon.org/native-plants/species/showy-goldenrod?zipcode=78666,National Audubon Society Native Plants,,CAND4360
Shumard's Oak,Quercus shumardii,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Shumard’s Oak, also called Southern Red Oak and Spotted Oak, is a medium-sized oak that typically reaches 50 to 90 feet in height, with a pyramidal shape that becomes more open-canopied at maturity. It has shiny, dark green leaves that turn scarlet in the fall, and its acorns are almost as wide as they are long, with a low toxicity if eaten raw. Shumard’s Oak is an attractive, fast-growing shade tree that tolerates drought and short-term flooding, growing in full sun to partial shade and in dry to moist soils.",https://www.audubon.org/native-plants/species/shumards-oak?zipcode=78666,National Audubon Society Native Plants,,CAND3765
Side-Oats Grama,Bouteloua curtipendula,Grasses,Fruit; Nuts; Seeds,fruit; nuts; seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,3,"A perennial, warm-season bunch or sod-forming grass, Side-Oats Grama has 2 to 3 foot stems that grow in erect, wiry clumps. Also called Banderilla, Banderita, and Navajita, this plant produces purplish, oat-like spikelets that lighten to a tan color in the fall. Growing in full to partial sun and in dry to moist, well-drained soils, Side-Oats Grama provides food, nesting material, and cover for birds and mammals.",https://www.audubon.org/native-plants/species/side-oats-grama?zipcode=78666,National Audubon Society Native Plants,,PLT0009
Southern Bald-Cypress,Taxodium distichum,Trees,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,3,"Sometimes called Red, Yellow, Swamp, or Gulf Cypress, this is a large, slow-growing, long-lived tree that typically grows 50 to 75 feet tall in full sun and moist to wet soils. It produces round, purplish-green cones that become brown when mature, and its soft, feathery, yellowish-green foliage turns a beautiful orange or cinnamon-brown in the fall. Though native to swamp habitats, where it is recognizable by its multiple wooden ""knees,"" the Bald-Cypress also grows surprisingly well in drier conditions.",https://www.audubon.org/native-plants/species/southern-bald-cypress?zipcode=78666,National Audubon Society Native Plants,,PLT0287
Spotted Beebalm,Monarda punctata,Annuals/Per.,Butterflies; Caterpillars,butterflies; caterpillars,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,2,"Also called Spotted Horsemint or simply Horsemint, this aromatic perennial grows up to 3 feet tall and attracts pollinators such as bees and butterflies. A central stem produces two or more dense whorls of yellowish, purple-spotted flowers with purplish bracts in the upper portion of each plant. It is drought tolerant, growing in full sun, and in dry, sandy soils.",https://www.audubon.org/native-plants/species/spotted-beebalm?zipcode=78666,National Audubon Society Native Plants,,PLT0111
Standing-Cypress,Ipomopsis rubra,Annuals/Per.,Nectar,nectar,Hummingbirds; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,7,1,"Also known as Red Texas Star and Scarlet Gilia, this herbaceous biennial or short-lived perennial readily self-seeds, standing 2 to 5 feet tall and tolerating dry conditions. It is appropriately nicknamed for its erect spikes of red flowers that bloom during the summer and are highly attractive to hummingbirds. Standing-Cypress grows best in full sun to partial shade and in dry, sandy or rocky soils.",https://www.audubon.org/native-plants/species/standing-cypress?zipcode=78666,National Audubon Society Native Plants,,PLT0099
Starry Rosinweed,Silphium asteriscus,Annuals/Per.,,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/starry-rosinweed?zipcode=78666,National Audubon Society Native Plants,missing_attributes,AUD0002
Sugar-Berry,Celtis laevigata,Trees,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Also going by the names Texas Sugarberry, Lowland Hackberry, and Palo Blanco, this is a deciduous tree that typically grows 60 to 80 feet tall with a rounded, spreading crown and curving branches. Insignificant flowers give way to often abundant, round, fleshy berries that are favored by many species of birds. Sugar-Berry grows in partial shade and in a variety of moist soils.",https://www.audubon.org/native-plants/species/sugar-berry?zipcode=78666,National Audubon Society Native Plants,,CAND0928
Tree Sparkle-Berry,Vaccinium arboreum,"Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"This large, perennial shrub or small tree is also known as Farkleberry and Huckleberry. As the largest blueberry species in North America, it normally grows 8 to 10 feet tall and wide, though large specimens can reach dimensions of up to 30 feet. Its twisting branches bear fragrant, white, bell-shaped flowers followed by shiny black berries that are bitter and tough to humans but enjoyed by many fruit-eating birds and mammals. This understory tree grows best in partial shade and dry, sandy or rocky soils.",https://www.audubon.org/native-plants/species/tree-sparkle-berry?zipcode=78666,National Audubon Society Native Plants,,CAND4797
Trumpet Honeysuckle,Lonicera sempervirens,Vines,Butterflies; Caterpillars; Fruit; Nectar,butterflies; caterpillars; fruit; nectar,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Also known as Coral Honeysuckle and Woodbine, this twining vine needs a trellis or fence upon which to grow. It blooms early in the year with one major flush in spring and then several other, but smaller, flushes throughout summer and fall. Hummingbirds, bees, and butterflies are highly attracted to the red, trumpet-shaped flowers growing along the vine. This plant blooms best in full sun, though it can grow in partial shade, and prefers moist, rich soils.",https://www.audubon.org/native-plants/species/trumpet-honeysuckle?zipcode=78666,National Audubon Society Native Plants,,PLT0301
Wand Panic Grass,Panicum virgatum,Grasses,Seeds,seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,1,"Also known as Wand Panic Grass, this clump-forming, perennial grass grows 3 to 6 feet tall, with open, delicate sprays producing small seeds. Bright green leaves sprout along the stem, and turn bright yellow in fall. This plant grows in full sun to partial shade, and in a variety of dry to moist soils including sandy, sandy loam, clay, and limestone-based soils. It is attractive to butterflies, highly resistant to deer, and provides cover, nesting material, and food (seeds) to ground-feeding/game birds.",https://www.audubon.org/native-plants/species/wand-panic-grass?zipcode=78666,National Audubon Society Native Plants,,PLT0024
West Indian Shrub-Verbena,Lantana urticoides,Shrubs,,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/west-indian-shrub-verbena?zipcode=78666,National Audubon Society Native Plants,missing_attributes,PLT0193
White Prairie-Clover,Dalea candida,"Annuals/Per., Shrubs",,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/white-prairie-clover?zipcode=78666,National Audubon Society Native Plants,missing_attributes,CAND1387
White Sagebrush,Artemisia ludoviciana,"Annuals/Per., Evergreen, Shrubs",Fruit; Nuts,fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; New World Sparrows; Woodpeckers",6,2,"This plant has several common names, including Louisiana Sage, Silver Sage, Mugwort Wormwood, and Gray Sagewort. This perennial shrub grows to 3 feet in size, with attractive silvery foliage and small, yellowish flowers that bloom from July to October. White Sagebrush grows in full sun and has a medium to low water requirement, adapting to a variety of soils.",https://www.audubon.org/native-plants/species/white-sagebrush?zipcode=78666,National Audubon Society Native Plants,,CAND0412
Whitebrush,Aloysia gratissima,Shrubs,,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/whitebrush?zipcode=78666,National Audubon Society Native Plants,missing_attributes,PLT0176
Whorled Milkweed,Asclepias verticillata,Annuals/Per.,Butterflies; Caterpillars,butterflies; caterpillars,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,2,"This small perennial blooms later in the year than most milkweeds and often into September. It grows 1 to 3 feet tall in full sun to partial shade, and in dry, sandy, clayey, or rocky soils. This plant produces small clusters of greenish-white flowers that attract many pollinators, including bees and Monarch butterflies, though it is toxic to livestock.",https://www.audubon.org/native-plants/species/whorled-milkweed?zipcode=78666,National Audubon Society Native Plants,,AUD0003
