plant_common_name,plant_scientific_name,plant_type,audubon_attributes_original,audubon_attributes_normalized,audubon_bird_groups_original,audubon_bird_group_count,audubon_resource_count,description,source_url_or_citation,evidence_source,audit_flags,matched_dashboard_id
Black-Eyed-Susan,Rudbeckia hirta,Annuals/Per.,Butterflies; Caterpillars,butterflies; caterpillars,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,2,"This herbaceous annual grows 1 to 2 feet tall in full sun and moist to dry, well-drained soil. The daisy-like flowers are yellow with a brownish-purple center, and bloom on rough stalks from June to October. It attracts birds for its seeds and pollinating insects for its nectar, and is resistant to browsing by deer.",https://www.audubon.org/native-plants/species/black-eyed-susan?zipcode=78666,National Audubon Society Native Plants,,PLT0134
Blood Sage,Salvia coccinea,"Annuals/Per., Shrubs",Nectar,nectar,Hummingbirds; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,7,1,"Also known as Scarlet Sage, Tropical Sage, and Indian Fire, this annual plant grows to 4 feet tall and easily reseeds itself. It produces several whorls of showy, red flowers from an interrupted spike on a square stem from February through October, highly attracting hummingbirds. Blood Sage can grow in full sun to shade in dry to moist soils.",https://www.audubon.org/native-plants/species/blood-sage?zipcode=78666,National Audubon Society Native Plants,,PLT0140
Burr Oak,Quercus macrocarpa,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This deciduous tree goes by many names, including Savannah, Overcup, Prairie, Mossy-cup, and Blue Oak. It is a long-lived shade tree with a massive trunk and sprawling canopy, growing over 100 feet tall and wide in full sun to shade and in various soil conditions. It has thick, gray bark and deeply lobed, green leaves. The nuts have distinctive, coarse scales on the caps, and its tolerance to air pollution makes it a good urban tree.",https://www.audubon.org/native-plants/species/burr-oak?zipcode=78666,National Audubon Society Native Plants,,PLT0277
Butterfly Milkweed,Asclepias tuberosa,Annuals/Per.,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",15,5,"Other common names for this nectar-rich perennial include Orange Milkweed and Pleurisy Root. It typically grows in clumps up to 1 to 3 feet tall, and features clusters of bright orange to yellow-orange flowers. Though toxic to humans if eaten in large amounts, its blooms are attractive to both butterflies and hummingbirds, and like all milkweeds, it serves as a host plant for butterfly species including the Monarch. Drought tolerant, this plant grows in full sun and in dry to moist, well-drained, sandy soils.",https://www.audubon.org/native-plants/species/butterfly-milkweed?zipcode=78666,National Audubon Society Native Plants,,PLT0045
Cardinal-Flower,Lobelia cardinalis,Annuals/Per.,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Hummingbirds; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,3,"Cardinal-Flower is a short-lived perennial that grows up to 6 feet tall, and is capable of thriving in standing water or average soil. From mid-summer to fall it produces showy red flowers at the end of terminal spikes that are especially attractive to hummingbirds. This plant can grow in full sun to shade, but its soil must always be kept moist or wet.",https://www.audubon.org/native-plants/species/cardinal-flower?zipcode=78666,National Audubon Society Native Plants,,PLT0103
Cedar Elm,Ulmus crassifolia,Trees,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Cedar Elm, also known as Fall, Basket, Scrub, or Southern Rock Elm, is a medium to large deciduous tree that grows to 90 feet tall, with a rounded crown. Its small leaves are rough and its fruits are small-winged seeds that mature quickly after flowering in late fall. This tree grows in partial shade and in moist to dry soils, serving as an excellent source for food, cover, and nesting sites. Cedar Elms are partially resistant to Dutch elm disease; consult with your native plant nursery.",https://www.audubon.org/native-plants/species/cedar-elm?zipcode=78666,National Audubon Society Native Plants,,PLT0290
Common Buttonbush,Cephalanthus occidentalis,Shrubs,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This plant is also known as Button Willow. It is a perennial, deciduous shrub that usually grows 6 to 12 feet tall and has a twisting trunk and crooked branches. Small, white flowers grow to form a distinctive, dense, spherical cluster with protruding pistils, and the fruits are brown and button-like in appearance. This shrub grows in partial to full shade, and in a variety of moist to wet soils including loam, clay, limestone, and sandy soils. The flowers and fruits attract many pollinators and birds.",https://www.audubon.org/native-plants/species/common-buttonbush?zipcode=78666,National Audubon Society Native Plants,,PLT0184
Common Sunflower,Helianthus annuus,Annuals/Per.,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This well-known annual grows on an erect, rough-hairy stem, reaching heights of up to 10 feet, with broad, rough leaves. The large ""flower"" of the sunflower is actually a ""flower head"" of numerous small, individual five-petaled flowers. This plant is highly attractive to birds for its seeds, and grows best in full sun and dry clays or heavy sands.",https://www.audubon.org/native-plants/species/common-sunflower?zipcode=78666,National Audubon Society Native Plants,,CAND2073
Common Yarrow,Achillea millefolium,Annuals/Per.,Fruit; Nuts,fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers; Woodpeckers",11,2,"Also known as Western Yarrow and Milfoil, this spreading, perennial herb has feathery compound leaves and grows to 3 feet tall. Its flower heads are arranged in large, flat, compact clusters at the top of the stem. There is some confusion over the categorization of this species in North America, as substantial hybridization has occurred between native and Eurasian strains. Common Yarrow forms spreading colonies and may be best suited for naturalized areas, growing in full sun to partial shade, and in dry soil.",https://www.audubon.org/native-plants/species/common-yarrow?zipcode=78666,National Audubon Society Native Plants,,PLT0032
Deciduous Holly,Ilex decidua,"Shrubs, Trees",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"This is a small, deciduous tree or shrub with pale gray, twiggy, horizontal branches and glossy, dark green leaves that yellow in late autumn. Flowers precede the red berries that provide winter color and forage for birds and other wildlife. Also called Possumhaw, Swamp Holly, and Winterberry, this perennial grows 15 to 30 feet tall in full sun to partial shade, and in moist sands, clays, or loams.",https://www.audubon.org/native-plants/species/deciduous-holly?zipcode=78666,National Audubon Society Native Plants,,PLT0213
