plant_id,animal,common,group,rank,family,order,category,raw,part,stage,use,evidence,scope,weight,sources,citations,urls
CAND0929,,Woodpeckers,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Wrens,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Cardinals,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Cardinals,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Chickadees,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Chickadees,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Chickadees,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Crows,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Vireos,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Vireos,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Buntings,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Cardinals,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Hummingbirds,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Hummingbirds,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Grosbeaks,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Sparrows,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Sparrows,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Thrashers,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Thrushes,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Orioles,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Grosbeaks,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Grosbeaks,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Hummingbirds,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Thrushes,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Titmice,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Titmice,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Titmice,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Nuthatches,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Orioles,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Orioles,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Sparrows,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Finches,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Finches,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Buntings,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Buntings,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Thrashers,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Thrashers,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Crows,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Crows,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0929,,Finches,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Buntings,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Buntings,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Buntings,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Cardinals,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Cardinals,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Cardinals,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Orioles,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Wrens,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Grosbeaks,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Hummingbirds,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Hummingbirds,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Hummingbirds,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Jays,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Jays,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Thrushes,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Mockingbirds,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Mockingbirds,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Nuthatches,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Nuthatches,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Nuthatches,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Orioles,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Vireos,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Grosbeaks,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Sparrows,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Sparrows,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Thrashers,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Thrashers,Birds,broad_guild,,,Bird direct food,seed/grain,seed/grain,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Thrashers,Birds,broad_guild,,,Bird direct food,nectar,flower nectar,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
CAND0930,,Mockingbirds,Birds,broad_guild,,,Bird direct food,fruit,fruit,,Food,C - documented broad bird group,Audubon ZIP 78666 / Hays context,0.26,Central Texas Bird Audubon interactions,National Audubon Society,https://www.audubon.org/native-plants
