interaction_record_id,plant_name,rank,mapped_count,mapped_ids,weight,action
MOT_PLANT_0139,Agave spp.,genus,1,PLT0232,0.234,import_genus_or_review_species
MOT_PLANT_0140,Cercocarpus montanus complex,species_complex,1,MAMMALPLT0003,0.325,hold_region_review
MOT_PLANT_0141,Poaceae,family/functional_group,1,CAND3417,0.104,import_functional_group
MOT_PLANT_0142,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0143,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0144,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0145,Quercus fusiformis / Quercus virginiana complex,species_complex,2,PLT0275|PLT0280,0.375,direct_import_species_review
MOT_PLANT_0146,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0147,Celtis spp.,genus,1,PLT0183,0.27,import_genus_or_review_species
MOT_PLANT_0148,Vitis mustangensis / Vitis spp.,species_or_genus,1,PLT0310,0.315,direct_import_species_review
MOT_PLANT_0149,Smilax spp.,genus,1,CAND4295,0.27,import_genus_or_review_species
MOT_PLANT_0150,Dasylirion texanum / Dasylirion spp.,species_or_genus,1,PLT0233,0.315,direct_import_species_review
MOT_PLANT_0151,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0152,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0153,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0154,Quercus fusiformis / Quercus virginiana complex,species_complex,2,PLT0275|PLT0280,0.375,direct_import_species_review
MOT_PLANT_0155,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0156,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0157,Cyperaceae / Carex-Cyperus-Eleocharis spp.,family/genus_group,1,CAND1357,0.165,import_functional_group
MOT_PLANT_0158,Digitaria cognata,species,1,CAND1479,0.562,direct_import_species_review
MOT_PLANT_0159,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0160,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0161,Poaceae,family/functional_group,1,CAND3417,0.072,import_functional_group
MOT_PLANT_0162,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.072,import_functional_group
MOT_PLANT_0163,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0164,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
