plant_scientific_name,plant_common_name,plant_type,evidence_source,source_url_or_citation,audubon_attributes_original,audubon_attributes_normalized,resource_original,resource_normalized,resource_claim_type,direct_bird_interaction
Celtis reticulata,Net-Leaf Hackberry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/net-leaf-hackberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Celtis reticulata,Net-Leaf Hackberry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/net-leaf-hackberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Celtis reticulata,Net-Leaf Hackberry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/net-leaf-hackberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Lindera benzoin,Northern Spicebush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/northern-spicebush?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Lindera benzoin,Northern Spicebush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/northern-spicebush?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Lindera benzoin,Northern Spicebush,Shrubs,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/northern-spicebush?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Monarda fistulosa,Oswego-Tea,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/oswego-tea?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Butterflies,butterflies,plant-level Audubon attribute,False
Monarda fistulosa,Oswego-Tea,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/oswego-tea?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Caterpillars,caterpillars,plant-level Audubon attribute,False
Monarda fistulosa,Oswego-Tea,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/oswego-tea?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Nectar,nectar,plant-level Audubon attribute,False
Carya illinoinensis,Pecan,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/pecan?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Carya illinoinensis,Pecan,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/pecan?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Carya illinoinensis,Pecan,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/pecan?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Carya illinoinensis,Pecan,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/pecan?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Quercus fusiformis,Plateau Oak,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/plateau-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Quercus fusiformis,Plateau Oak,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/plateau-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Quercus fusiformis,Plateau Oak,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/plateau-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Quercus fusiformis,Plateau Oak,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/plateau-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Aristida purpurea,Purple Three Awn,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/purple-three-awn?zipcode=78666,Seeds,seeds,Seeds,seeds,plant-level Audubon attribute,False
Aesculus pavia,Red Buckeye,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-buckeye?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Butterflies,butterflies,plant-level Audubon attribute,False
Aesculus pavia,Red Buckeye,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-buckeye?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Caterpillars,caterpillars,plant-level Audubon attribute,False
Aesculus pavia,Red Buckeye,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-buckeye?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Nectar,nectar,plant-level Audubon attribute,False
Aquilegia canadensis,Red Columbine,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-columbine?zipcode=78666,Nectar,nectar,Nectar,nectar,plant-level Audubon attribute,False
Morus rubra,Red Mulberry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-mulberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Morus rubra,Red Mulberry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-mulberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Morus rubra,Red Mulberry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-mulberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Erythrina herbacea,Red-Cardinal,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-cardinal?zipcode=78666,Nectar,nectar,Nectar,nectar,plant-level Audubon attribute,False
Ratibida columnifera,Red-Spike Mexican-Hat,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/red-spike-mexican-hat?zipcode=78666,Seeds,seeds,Seeds,seeds,plant-level Audubon attribute,False
Cercis canadensis,Redbud,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/redbud?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Cercis canadensis,Redbud,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/redbud?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Cercis canadensis,Redbud,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/redbud?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Fruit,fruit,plant-level Audubon attribute,False
Cercis canadensis,Redbud,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/redbud?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Nectar,nectar,plant-level Audubon attribute,False
Cercis canadensis,Redbud,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/redbud?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar; Nuts,butterflies; caterpillars; fruit; nectar; nuts,Nuts,nuts,plant-level Audubon attribute,False
Cornus drummondii,Rough-Leaf Dogwood,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/rough-leaf-dogwood?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Cornus drummondii,Rough-Leaf Dogwood,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/rough-leaf-dogwood?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Cornus drummondii,Rough-Leaf Dogwood,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/rough-leaf-dogwood?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Viburnum rufidulum,Rusty Blackhaw,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/rusty-blackhaw?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Viburnum rufidulum,Rusty Blackhaw,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/rusty-blackhaw?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Viburnum rufidulum,Rusty Blackhaw,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/rusty-blackhaw?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Celtis ehrenbergiana,Shiny Hackberry,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shiny-hackberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Celtis ehrenbergiana,Shiny Hackberry,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shiny-hackberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Celtis ehrenbergiana,Shiny Hackberry,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shiny-hackberry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Solidago speciosa,Showy Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/showy-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Solidago speciosa,Showy Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/showy-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Solidago speciosa,Showy Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/showy-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Solidago speciosa,Showy Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/showy-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Quercus shumardii,Shumard's Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shumards-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Quercus shumardii,Shumard's Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shumards-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Quercus shumardii,Shumard's Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shumards-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Quercus shumardii,Shumard's Oak,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/shumards-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Bouteloua curtipendula,Side-Oats Grama,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/side-oats-grama?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Fruit,fruit,plant-level Audubon attribute,False
Bouteloua curtipendula,Side-Oats Grama,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/side-oats-grama?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Nuts,nuts,plant-level Audubon attribute,False
Bouteloua curtipendula,Side-Oats Grama,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/side-oats-grama?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Seeds,seeds,plant-level Audubon attribute,False
Taxodium distichum,Southern Bald-Cypress,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/southern-bald-cypress?zipcode=78666,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,Butterflies,butterflies,plant-level Audubon attribute,False
Taxodium distichum,Southern Bald-Cypress,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/southern-bald-cypress?zipcode=78666,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,Caterpillars,caterpillars,plant-level Audubon attribute,False
Taxodium distichum,Southern Bald-Cypress,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/southern-bald-cypress?zipcode=78666,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,Seeds,seeds,plant-level Audubon attribute,False
Monarda punctata,Spotted Beebalm,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/spotted-beebalm?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Butterflies,butterflies,plant-level Audubon attribute,False
Monarda punctata,Spotted Beebalm,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/spotted-beebalm?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ipomopsis rubra,Standing-Cypress,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/standing-cypress?zipcode=78666,Nectar,nectar,Nectar,nectar,plant-level Audubon attribute,False
Celtis laevigata,Sugar-Berry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/sugar-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Celtis laevigata,Sugar-Berry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/sugar-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Celtis laevigata,Sugar-Berry,Trees,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/sugar-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Vaccinium arboreum,Tree Sparkle-Berry,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/tree-sparkle-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Vaccinium arboreum,Tree Sparkle-Berry,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/tree-sparkle-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Vaccinium arboreum,Tree Sparkle-Berry,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/tree-sparkle-berry?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Lonicera sempervirens,Trumpet Honeysuckle,Vines,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/trumpet-honeysuckle?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar,butterflies; caterpillars; fruit; nectar,Butterflies,butterflies,plant-level Audubon attribute,False
Lonicera sempervirens,Trumpet Honeysuckle,Vines,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/trumpet-honeysuckle?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar,butterflies; caterpillars; fruit; nectar,Caterpillars,caterpillars,plant-level Audubon attribute,False
Lonicera sempervirens,Trumpet Honeysuckle,Vines,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/trumpet-honeysuckle?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar,butterflies; caterpillars; fruit; nectar,Fruit,fruit,plant-level Audubon attribute,False
Lonicera sempervirens,Trumpet Honeysuckle,Vines,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/trumpet-honeysuckle?zipcode=78666,Butterflies; Caterpillars; Fruit; Nectar,butterflies; caterpillars; fruit; nectar,Nectar,nectar,plant-level Audubon attribute,False
Panicum virgatum,Wand Panic Grass,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/wand-panic-grass?zipcode=78666,Seeds,seeds,Seeds,seeds,plant-level Audubon attribute,False
Artemisia ludoviciana,White Sagebrush,"Annuals/Per., Evergreen, Shrubs",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/white-sagebrush?zipcode=78666,Fruit; Nuts,fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Artemisia ludoviciana,White Sagebrush,"Annuals/Per., Evergreen, Shrubs",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/white-sagebrush?zipcode=78666,Fruit; Nuts,fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Asclepias verticillata,Whorled Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/whorled-milkweed?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Butterflies,butterflies,plant-level Audubon attribute,False
Asclepias verticillata,Whorled Milkweed,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/whorled-milkweed?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ilex vomitoria,Yaupon,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/yaupon?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Ilex vomitoria,Yaupon,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/yaupon?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ilex vomitoria,Yaupon,"Evergreen, Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/yaupon?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Sorghastrum nutans,Yellow Indian Grass,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/yellow-indian-grass?zipcode=78666,Seeds,seeds,Seeds,seeds,plant-level Audubon attribute,False
