dashboard_row_number,plant_id,plant_scientific_name,plant_common_name,insect_scientific_name,insect_common_name,insect_group,insect_order,insect_family,interaction_category,interaction_raw_term,plant_part,life_stage,use_label,evidence_grade,scope,source_layer,citation_text,source_urls_parsed,doi_parsed,uuid_or_record_id_parsed,first_url,verification_bucket,citation_status,github_action
3455,PLT0311,Colubrina texensis,Texas Hog Plum,Chrysis wasbaueri,,Wasps & ants,Hymenoptera,Chrysididae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Fort Sam Houston,Hays County Insect simplified.csv,urn:catalog:CAS:TYPE:11329,,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
7868,PLT0109,Monarda citriodora,"Lemon Beebalm, Purple Horsemint, Lemon Mint, Plains Horsemint, Lemon Horsemint, Horsemint, Purple Lemon Mint",Megachile frugalis,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Devils River,Hays County Insect simplified.csv,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
25451,CAND0454,Aster,,Megachile frugalis,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Devils River,Hays County Insect simplified.csv,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
25492,CAND0455,Asteraceae,,Nomada texana,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Salado Creek,Hays County Insect simplified.csv,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
25851,CAND0517,Baccharis,,Xylocopa virginica,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Leon Creek,Hays County Insect simplified.csv,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
28950,CAND1002,Chamaesaracha coniodes,,Nomada texana,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,9 mi NW of Carrizo Springs,Hays County Insect simplified.csv,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
30405,CAND1234,Crataegus,,Heterocordylus malinus,,True bugs,Hemiptera,Miridae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Palmetto State Park,Hays County Insect simplified.csv,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
32276,CAND1787,Fabaceae,,Slaterocoris ambrosiae,,True bugs,Hemiptera,Miridae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Kerrville,Hays County Insect simplified.csv,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",,,,,6_named_database_or_catalog_no_clickable_url,no digital locator parsed; manual source recovery needed,keep row but flag for source recovery review
