dashboard_row_number,plant_id,plant_scientific_name,plant_common_name,insect_scientific_name,insect_common_name,insect_group,insect_order,insect_family,interaction_category,interaction_raw_term,plant_part,life_stage,use_label,evidence_grade,scope,source_layer,citation_text,source_urls_parsed,doi_parsed,uuid_or_record_id_parsed,first_url,verification_bucket,citation_status,github_action
38658,CAND3243,Physaria,,Osmia botitena,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Mason, 10 mi N",Hays County Insect simplified.csv,1fe421ce-1ed6-11e3-bfac-90b11c41863e,,,1fe421ce-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
38660,CAND3243,Physaria,,Perdita missionis,,Native bees,Hymenoptera,Andrenidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Mason, 12 mi N",Hays County Insect simplified.csv,3685e1b7-1ed6-11e3-bfac-90b11c41863e,,,3685e1b7-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
38662,CAND3243,Physaria,,Sphecodes (Sphecodium),,Native bees,Hymenoptera,Halictidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Mason, 12 mi N",Hays County Insect simplified.csv,497f4207-1ed6-11e3-bfac-90b11c41863e | 49833c82-1ed6-11e3-bfac-90b11c41863e,,,497f4207-1ed6-11e3-bfac-90b11c41863e | 49833c82-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
38664,CAND3243,Physaria,,Sphecodosoma pratti,,Native bees,Hymenoptera,Halictidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Mason, 12 mi N",Hays County Insect simplified.csv,1fc45bf2-1ed6-11e3-bfac-90b11c41863e,,,1fc45bf2-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
38666,CAND3243,Physaria,,Stelis lateralis,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Mason, 10 mi N",Hays County Insect simplified.csv,375d88bb-1ed6-11e3-bfac-90b11c41863e,,,375d88bb-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
40677,CAND3512,Prosopis glandulosa,,Perdita ashmeadi,,Native bees,Hymenoptera,Andrenidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Del Rio, 16 mi SE",Hays County Insect simplified.csv,193638e9-1ed6-11e3-bfac-90b11c41863e | 1d606445-1ed6-11e3-bfac-90b11c41863e | 21a29d53-1ed6-11e3-bfac-90b11c41863e | 25050814-1ed6-11e3-bfac-90b11c41863e,,,193638e9-1ed6-11e3-bfac-90b11c41863e | 1d606445-1ed6-11e3-bfac-90b11c41863e | 21a29d53-1ed6-11e3-bfac-90b11c41863e | 25050814-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
41097,CAND3603,Ptilimnium nuttallii,,Hylaeus modestus,,Native bees,Hymenoptera,Colletidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Goliad,Hays County Insect simplified.csv,22bd2af8-1ed6-11e3-bfac-90b11c41863e | 44c00abc-1ed6-11e3-bfac-90b11c41863e | 44c00d4a-1ed6-11e3-bfac-90b11c41863e | 44c00fce-1ed6-11e3-bfac-90b11c41863e | 44c01255-1ed6-11e3-bfac-90b11c41863e,,,22bd2af8-1ed6-11e3-bfac-90b11c41863e | 44c00abc-1ed6-11e3-bfac-90b11c41863e | 44c00d4a-1ed6-11e3-bfac-90b11c41863e | 44c00fce-1ed6-11e3-bfac-90b11c41863e | 44c01255-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
41186,CAND3621,Pyrrhopappus,,Bombus pensylvanicus,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Giddings, 9 mi W",Hays County Insect simplified.csv,1facffd0-1ed6-11e3-bfac-90b11c41863e,,,1facffd0-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
45800,CAND3955,Rudbeckia,,Svastra petulca,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Lexington,Hays County Insect simplified.csv,3ac37763-1ed6-11e3-bfac-90b11c41863e,,,3ac37763-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
45867,CAND3956,Rudbeckia hirta var. pulcherrima,,Coelioxys texana,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Goliad,Hays County Insect simplified.csv,1d6f9327-1ed6-11e3-bfac-90b11c41863e | 38479c8d-1ed6-11e3-bfac-90b11c41863e,,,1d6f9327-1ed6-11e3-bfac-90b11c41863e | 38479c8d-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
45870,CAND3956,Rudbeckia hirta var. pulcherrima,,Megachile parallela,,Native bees,Hymenoptera,Megachilidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Goliad,Hays County Insect simplified.csv,247581a2-1ed6-11e3-bfac-90b11c41863e,,,247581a2-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
46074,CAND3996,Salix,,Colletes thoracicus,,Native bees,Hymenoptera,Colletidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Lexington,Hays County Insect simplified.csv,3346b17e-1ed6-11e3-bfac-90b11c41863e | 3346b3d3-1ed6-11e3-bfac-90b11c41863e | 3346b620-1ed6-11e3-bfac-90b11c41863e | 3346b871-1ed6-11e3-bfac-90b11c41863e | 3346babc-1ed6-11e3-bfac-90b11c41863e,,,3346b17e-1ed6-11e3-bfac-90b11c41863e | 3346b3d3-1ed6-11e3-bfac-90b11c41863e | 3346b620-1ed6-11e3-bfac-90b11c41863e | 3346b871-1ed6-11e3-bfac-90b11c41863e | 3346babc-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
46078,CAND3996,Salix,,Hylaeus modestus,,Native bees,Hymenoptera,Colletidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Luling,Hays County Insect simplified.csv,1ec20722-1ed6-11e3-bfac-90b11c41863e | 25288fa5-1ed6-11e3-bfac-90b11c41863e | 3a77dadb-1ed6-11e3-bfac-90b11c41863e | 3bef5a18-1ed6-11e3-bfac-90b11c41863e,,,1ec20722-1ed6-11e3-bfac-90b11c41863e | 25288fa5-1ed6-11e3-bfac-90b11c41863e | 3a77dadb-1ed6-11e3-bfac-90b11c41863e | 3bef5a18-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
46082,CAND3996,Salix,,Melissodes gilensis,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Davis Mountains,Hays County Insect simplified.csv,22eac9b9-1ed6-11e3-bfac-90b11c41863e,,,22eac9b9-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
46087,CAND3996,Salix,,Xylocopa californica,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Davis Mountains,Hays County Insect simplified.csv,193791ab-1ed6-11e3-bfac-90b11c41863e,,,193791ab-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
47352,CAND4303,Solanum angustifolium,,Centris atripes,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Del Rio, 13 mi NW",Hays County Insect simplified.csv,1a4f40d2-1ed6-11e3-bfac-90b11c41863e | 1be4db63-1ed6-11e3-bfac-90b11c41863e | 1d59bb90-1ed6-11e3-bfac-90b11c41863e | 1d60cbee-1ed6-11e3-bfac-90b11c41863e | 249a82dc-1ed6-11e3-bfac-90b11c41863e,,,1a4f40d2-1ed6-11e3-bfac-90b11c41863e | 1be4db63-1ed6-11e3-bfac-90b11c41863e | 1d59bb90-1ed6-11e3-bfac-90b11c41863e | 1d60cbee-1ed6-11e3-bfac-90b11c41863e | 249a82dc-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
48415,CAND4530,Symphyotrichum subulatum,,Perdita ignota,,Native bees,Hymenoptera,Andrenidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Flatonia,Hays County Insect simplified.csv,175b6ae7-1ed6-11e3-bfac-90b11c41863e | 175d10f0-1ed6-11e3-bfac-90b11c41863e | 18d3d501-1ed6-11e3-bfac-90b11c41863e | 1a116356-1ed6-11e3-bfac-90b11c41863e | 1c5a48bb-1ed6-11e3-bfac-90b11c41863e,,,175b6ae7-1ed6-11e3-bfac-90b11c41863e | 175d10f0-1ed6-11e3-bfac-90b11c41863e | 18d3d501-1ed6-11e3-bfac-90b11c41863e | 1a116356-1ed6-11e3-bfac-90b11c41863e | 1c5a48bb-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
48763,CAND4603,Teucrium,,Melissodes communis,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Weser,Hays County Insect simplified.csv,1ca70b9b-1ed6-11e3-bfac-90b11c41863e,,,1ca70b9b-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
48765,CAND4603,Teucrium,,Svastra obliqua,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,Weser,Hays County Insect simplified.csv,1e92ca9e-1ed6-11e3-bfac-90b11c41863e,,,1e92ca9e-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
50309,CAND4902,Vitex,,Xylocopa virginica,,Native bees,Hymenoptera,Apidae,Other direct plant use,interactsWith,unknown plant part,,Unknown direct use,A - Hays/Central Texas record,"Georgetown, 5 mi S",Hays County Insect simplified.csv,41cebec9-1ed6-11e3-bfac-90b11c41863e,,,41cebec9-1ed6-11e3-bfac-90b11c41863e,,4_uuid_record_id_no_clickable_url,UUID/specimen identifier present; clickable URL recovery needed,keep row but flag for source recovery review
